 table_schema |    table_name    | column_name  | ordinal_position |                  column_default                   | is_nullable |     data_type     | character_maximum_length | numeric_precision | numeric_scale 
--------------+------------------+--------------+------------------+---------------------------------------------------+-------------+-------------------+--------------------------+-------------------+---------------
 public       | admins           | adminid      |                1 | nextval('admins_adminid_seq'::regclass)           | NO          | integer           |                          |                32 |             0
 public       | admins           | fname        |                2 |                                                   | NO          | character varying |                       30 |                   |              
 public       | admins           | lname        |                3 |                                                   | NO          | character varying |                       30 |                   |              
 public       | admins           | phone        |                4 |                                                   | NO          | numeric           |                          |                10 |             0
 public       | admins           | email        |                5 |                                                   | NO          | character varying |                       60 |                   |              
 public       | admins           | passhash     |                6 |                                                   | NO          | character         |                       97 |                   |              
 public       | admins           | token        |                7 |                                                   | NO          | character         |                       36 |                   |              
 public       | advisors         | advisorid    |                1 | nextval('advisors_advisorid_seq'::regclass)       | NO          | integer           |                          |                32 |             0
 public       | advisors         | fname        |                2 |                                                   | NO          | character varying |                       30 |                   |              
 public       | advisors         | lname        |                3 |                                                   | NO          | character varying |                       30 |                   |              
 public       | advisors         | phone        |                4 |                                                   | NO          | numeric           |                          |                10 |             0
 public       | advisors         | email        |                5 |                                                   | NO          | character varying |                       60 |                   |              
 public       | advisors         | passhash     |                6 |                                                   | NO          | character         |                       97 |                   |              
 public       | advisors         | depid        |                7 |                                                   | NO          | integer           |                          |                32 |             0
 public       | advisors         | token        |                8 |                                                   | NO          | character         |                       36 |                   |              
 public       | courses          | prefix       |                1 |                                                   | NO          | character         |                        3 |                   |              
 public       | courses          | number       |                2 |                                                   | NO          | numeric           |                          |                 4 |             0
 public       | courses          | credithours  |                3 |                                                   | NO          | integer           |                          |                32 |             0
 public       | courses          | title        |                4 |                                                   | NO          | character varying |                       60 |                   |              
 public       | courses          | depid        |                5 |                                                   | NO          | integer           |                          |                32 |             0
 public       | coursesmajors    | prefix       |                1 |                                                   | NO          | character         |                        3 |                   |              
 public       | coursesmajors    | number       |                2 |                                                   | NO          | numeric           |                          |                 4 |             0
 public       | coursesmajors    | majorid      |                3 |                                                   | NO          | integer           |                          |                32 |             0
 public       | departments      | depid        |                1 | nextval('departments_depid_seq'::regclass)        | NO          | integer           |                          |                32 |             0
 public       | departments      | building     |                2 |                                                   | NO          | character         |                        3 |                   |              
 public       | departments      | office       |                3 |                                                   | NO          | integer           |                          |                32 |             0
 public       | departments      | name         |                4 |                                                   | NO          | character varying |                       60 |                   |              
 public       | instructors      | instructorid |                1 | nextval('instructors_instructorid_seq'::regclass) | NO          | integer           |                          |                32 |             0
 public       | instructors      | fname        |                2 |                                                   | NO          | character varying |                       30 |                   |              
 public       | instructors      | lname        |                3 |                                                   | NO          | character varying |                       30 |                   |              
 public       | instructors      | phone        |                4 |                                                   | NO          | numeric           |                          |                10 |             0
 public       | instructors      | email        |                5 |                                                   | NO          | character varying |                       60 |                   |              
 public       | instructors      | passhash     |                6 |                                                   | NO          | character         |                       97 |                   |              
 public       | instructors      | depid        |                7 |                                                   | NO          | integer           |                          |                32 |             0
 public       | instructors      | token        |                8 |                                                   | NO          | character         |                       36 |                   |              
 public       | majors           | majorid      |                1 | nextval('majors_majorid_seq'::regclass)           | NO          | integer           |                          |                32 |             0
 public       | majors           | title        |                2 |                                                   | NO          | character varying |                       60 |                   |              
 public       | majors           | credithours  |                3 |                                                   | NO          | integer           |                          |                32 |             0
 public       | majors           | depid        |                4 |                                                   | NO          | integer           |                          |                32 |             0
 public       | sections         | crn          |                1 | nextval('sections_crn_seq'::regclass)             | NO          | integer           |                          |                32 |             0
 public       | sections         | season       |                2 |                                                   | NO          | numeric           |                          |                 1 |             0
 public       | sections         | year         |                3 |                                                   | NO          | numeric           |                          |                 4 |             0
 public       | sections         | timeblock    |                4 |                                                   | NO          | integer           |                          |                32 |             0
 public       | sections         | building     |                5 |                                                   | NO          | character         |                        3 |                   |              
 public       | sections         | room         |                6 |                                                   | NO          | numeric           |                          |                 3 |             0
 public       | sections         | courseprefix |                7 |                                                   | NO          | character         |                        3 |                   |              
